channel_id,video_id,channel_name,duration(sec),domain,link
UC9Rgo0CrNyd7OWliLekqqGA,JyQqfAHkuXs,ATN News,170,Talk-show,https://www.youtube.com/watch?v=JyQqfAHkuXs
UCiOTiJn83hp81Sw5ltLXQIg,qJrgL1GFdUk,Zillur Rahman,964,Talk-show,https://www.youtube.com/watch?v=qJrgL1GFdUk
UCAIEufoszs1J38-pKECORRg,sAIOF0D0ctE,BanglaVision LIVE,2839,Talk-show,https://www.youtube.com/watch?v=sAIOF0D0ctE
UC9Rgo0CrNyd7OWliLekqqGA,GgrX9E1eKqM,ATN News,79,Talk-show,https://www.youtube.com/watch?v=GgrX9E1eKqM
UCKlhfq1ILoAFav7iw5iCnfA,wM7GilXZcVY,ATN News Live,184,Talk-show,https://www.youtube.com/watch?v=wM7GilXZcVY
UCrqpxgInFaw4uVQpdqvZhxA,2tCqTGH2Pgk,BVNEWS24,177,Talk-show,https://www.youtube.com/watch?v=2tCqTGH2Pgk
UCKlhfq1ILoAFav7iw5iCnfA,BHXguf7olA4,ATN News Live,132,Talk-show,https://www.youtube.com/watch?v=BHXguf7olA4
UCrqpxgInFaw4uVQpdqvZhxA,RfszeQCJvC0,BVNEWS24,222,Talk-show,https://www.youtube.com/watch?v=RfszeQCJvC0
UCA4y9g_GRdNrZLH_u5LLSdw,Z-OQnex9Rr8,BanglaVision NEWS,1196,Talk-show,https://www.youtube.com/watch?v=Z-OQnex9Rr8
UC9Rgo0CrNyd7OWliLekqqGA,mBB2tukCYC0,ATN News,1153,Talk-show,https://www.youtube.com/watch?v=mBB2tukCYC0
UCKlhfq1ILoAFav7iw5iCnfA,9W-U5CGdlCA,ATN News Live,184,Talk-show,https://www.youtube.com/watch?v=9W-U5CGdlCA
UC9Rgo0CrNyd7OWliLekqqGA,0v4YjwdRbCo,ATN News,829,Talk-show,https://www.youtube.com/watch?v=0v4YjwdRbCo
UC9Rgo0CrNyd7OWliLekqqGA,gAK1iBtgtTQ,ATN News,121,Talk-show,https://www.youtube.com/watch?v=gAK1iBtgtTQ
UCTSvHZkOStz5Ak2J_q6YRlA,UuVPeDBvjCQ,Boishakhi Tv News,237,Talk-show,https://www.youtube.com/watch?v=UuVPeDBvjCQ
UCYTFHKYTUMm-tsFfdRzLXwg,aYDwdncclpQ,Noyon Media,833,Talk-show,https://www.youtube.com/watch?v=aYDwdncclpQ
UCrqpxgInFaw4uVQpdqvZhxA,Hrq3UnsdngE,BVNEWS24,352,Talk-show,https://www.youtube.com/watch?v=Hrq3UnsdngE
UCKlhfq1ILoAFav7iw5iCnfA,8BgU51rvmQU,ATN News Live,263,Talk-show,https://www.youtube.com/watch?v=8BgU51rvmQU
UCA4y9g_GRdNrZLH_u5LLSdw,GvF1Pmsk2HE,BanglaVision NEWS,104,Talk-show,https://www.youtube.com/watch?v=GvF1Pmsk2HE
UC6ste91HnrLSpgNIoQ12IjQ,VN0SomEHRZ8,Channel S,746,Talk-show,https://www.youtube.com/watch?v=VN0SomEHRZ8
UCUxdUUZZNXrZprkqTja0Ltg,zSHppR_dTzs,Global TV News,235,Talk-show,https://www.youtube.com/watch?v=zSHppR_dTzs
UCeG7m5-AJ4I0H4EIleIty4Q,wuTWqSFQ5HU,Prothom Alo,1863,Talk-show,https://www.youtube.com/watch?v=wuTWqSFQ5HU
