channel_id,video_id,channel_name,duration(sec),domain,link,,,
UC-T-lASc2qV30-ytUfkHefw,LjfOtdRcymw,AR Media 4K,3566,stage drama,https://www.youtube.com/watch?v=LjfOtdRcymw&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=36,,,
UCTOU9kN5a2ty4olg3_sc4bQ,Pcv3g5Hnuag,Sanjay Mitra,5849,stage drama,https://www.youtube.com/watch?v=Pcv3g5Hnuag&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=39,,,
UC_W-ZMawIs1BP2x1Ut67WsA,soDDF_ZFwlQ,Sonali Ghosh,6035,stage drama,https://www.youtube.com/watch?v=soDDF_ZFwlQ,,,
UCsQ7wrjayd2VoSyb4ZzbxDQ,i6wPbkdCe_c,AppyTv,7111,stage drama,https://www.youtube.com/watch?v=i6wPbkdCe_c&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=45,,,
UCd1wBQbEpXoiFHbuOCvE1og,-X7gT9C5KcQ,চিলেকোঠা (Chilekotha)TV,6054,stage drama,https://www.youtube.com/watch?v=-X7gT9C5KcQ&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=59,,,
UCW3COBbaywr3UcwVtBcMp-Q,n1e0-BM_V1A,Channel Rupali HD,5485,stage drama,https://www.youtube.com/watch?v=n1e0-BM_V1A&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=75,,,
UCvfyHZq6Y_o6iANeXLbFTlA,BIxL_VThMNk,Muhammad Gulam Saruar,4900,stage drama,https://www.youtube.com/watch?v=BIxL_VThMNk&list=TLPQMzEwMTIwMjYaoIPyaJs79Q&index=78,,,
UCGLigkqc6NUy9ZAFNpConhg,GzJZiZj5fF8,Kids Planet Bangla,4327,cartoon,https://www.youtube.com/watch?v=GzJZiZj5fF8,,,
UCi4vAMDUfdAA5anI47umOxg,_2HjOdBQWJ0,Bengali Fairy Tales,3197,cartoon,https://www.youtube.com/watch?v=_2HjOdBQWJ0,,,
UCEds72X2GYVwk06-oTS64mA,b3c9sv1RgBw,Golpo Cartoon TV,4804,cartoon,https://www.youtube.com/watch?v=b3c9sv1RgBw,,,
UCQ9mF7-0NiDgTD65Lpbx6ew,k0e0fvQfssc,মন্ডা মিঠাই - Bangla Animation,4841,cartoon,https://www.youtube.com/watch?v=k0e0fvQfssc,,,
UCmSsi2Kvrhwh1upoxgMPwxQ,0wSK29V0oGc,Amader Toons,4384,cartoon,https://www.youtube.com/watch?v=0wSK29V0oGc,,,
UCskyGEnt5kzkfo_oKUPum0w,j4GcYPQliGs,গল্প কন্যা,3105,cartoon,https://www.youtube.com/watch?v=j4GcYPQliGs,,,
UCskyGEnt5kzkfo_oKUPum0w,j4GcYPQliGs,গল্প কন্যা,3105,cartoon,https://www.youtube.com/watch?v=j4GcYPQliGs,,,
UC_WfdilTgiwZqaDGqY5th1A,MZJ8sXV0c0I,BinBin Cartoon,16295,cartoon,https://www.youtube.com/watch?v=MZJ8sXV0c0I,,,
UC7GUB-hjMvx8cbzDVxdbQAA,SSweEUIQvZ8,SNF Bangla,9602,movie,https://www.youtube.com/watch?v=SSweEUIQvZ8,,,
UCeEU-oLIlmp3EFIREiVw0bg,d7ENdhOUhF0,Bangla GOLPO Official,5284,cartoon,https://www.youtube.com/watch?v=d7ENdhOUhF0,,,
UCKN4w_x31-v5L5GoYYXyw0A,_1YCMScOwJs,Bhebla Bhuter Cartoon,6525,cartoon,https://www.youtube.com/watch?v=_1YCMScOwJs,,,
UCeEU-oLIlmp3EFIREiVw0bg,slpsWgb_tEI,Bangla GOLPO Official,6596,cartoon,https://www.youtube.com/watch?v=slpsWgb_tEI,,,
UCeEU-oLIlmp3EFIREiVw0bg,slpsWgb_tEI,Bangla GOLPO Official,6596,cartoon,https://www.youtube.com/watch?v=slpsWgb_tEI,,,
UClGrQq-Cg2cbPakxxeIlGmw,9iQY_Pjfdm8,SRK TV+,4008,cartoon,https://www.youtube.com/watch?v=9iQY_Pjfdm8,,,
UCWKeZvw4iSZVM2qXKZde58A,h-XC_khPUvg,KidZ,2535,cartoon,https://www.youtube.com/watch?v=h-XC_khPUvg,,,
UC2WobbehR7yXpBDVBGxbZ4Q,350p9S3kuI0,Sonic Gang Bangla Movies,5780,cartoon,https://www.youtube.com/watch?v=350p9S3kuI0,,,
UC8CeBdSmfXb7jtBkKySOZPw,ovk1FQTxc-c,YO Kids Bangla,2828,cartoon,https://www.youtube.com/watch?v=ovk1FQTxc-c,,,
UC2HXZuHFLddZib4gDl1m6cA,zS5CIJdIZSw,Star News,3146,talk show,https://www.youtube.com/watch?v=zS5CIJdIZSw,,,
UC2P5Fd5g41Gtdqf0Uzh8Qaw,u0H_9QAHrgk,Rtv News,5222,talk show,https://www.youtube.com/watch?v=u0H_9QAHrgk,,,
UC0ESiUN0fy6sS_zxO5jOP-g,kvH8pkQbnbM,Channel Nine BD,4209,talk show,https://www.youtube.com/watch?v=kvH8pkQbnbM,,,
UCsBqX8QguRdkawdlNbIL1dw,UZ90ibm_PIQ,Kaler Kantho,4587,talk show,https://www.youtube.com/watch?v=UZ90ibm_PIQ,,,
UCjIi0uZg4h5Ar8gvLDTrGwA,rvhB0doL2OY,GTV News,3844,talk show,https://www.youtube.com/watch?v=rvhB0doL2OY,,,
UCUDQdVsKssximyFwg4IxnOQ,7pR6g8SgvR0,NTV News,3391,talk show,https://www.youtube.com/watch?v=7pR6g8SgvR0,,,
UCN6sm8iHiPd0cnoUardDAnw,QcI39mfmCBU,Jamuna TV,2859,talk show,https://www.youtube.com/watch?v=QcI39mfmCBU,,,
UCtqvtAVmad5zywaziN6CbfA,wOJWTpzUM4A,Ekattor TV,3157,talk show,https://www.youtube.com/watch?v=wOJWTpzUM4A,,,
UC2P5Fd5g41Gtdqf0Uzh8Qaw,x-SllxA6RJc,Rtv News,5169,talk show,https://www.youtube.com/watch?v=x-SllxA6RJc,,,
UCukUk9Eafoo4XHk4JZjoh8Q,F_Cz9nESZh0,Ultra Bengali,8166,movie,https://www.youtube.com/watch?v=F_Cz9nESZh0,,,
UCsjSRfeVFmJcps2Bki1dRCw,lMgzBP9M748,NTV Natok,1280,drama,https://www.youtube.com/watch?v=lMgzBP9M748,,,
UCpNi3ip_fJY3vLVdqWbTzzA,qp6vkRok9_8,Laser Vision,10195,drama,https://www.youtube.com/watch?v=qp6vkRok9_8,,,
UChyAHsYg_ykQ7jLwkggtdhg,Xu8mAGO4e80,TG Movies,8798,movie,https://www.youtube.com/watch?v=Xu8mAGO4e80,,,
UC5csuMwNPRsU9AWOSr94wmg,4u7UUN3nxyg,ETV Talk Show,2919,talk show,https://www.youtube.com/watch?v=4u7UUN3nxyg,,,
UCu0TQNeATzQFvXB1oP_Ihng,FyLYcCMfztI,Nexus TV News,3082,talk show,https://www.youtube.com/watch?v=FyLYcCMfztI,,,
UCu0TQNeATzQFvXB1oP_Ihng,FyLYcCMfztI,Nexus TV News,3082,talk show,https://www.youtube.com/watch?v=FyLYcCMfztI,,,
UCz8kD6OLDUGgq7QqTN3nIyQ,UEZb79SvQt8,Alap - আলাপ,3577,talk show,https://www.youtube.com/watch?v=UEZb79SvQt8,,,
UCz8kD6OLDUGgq7QqTN3nIyQ,UEZb79SvQt8,Alap - আলাপ,3577,podcast,https://www.youtube.com/watch?v=UEZb79SvQt8,,,
UCW5yX7_V4lBgyhAELf--cxA,Y6G1Q7Ck480,SameerScane,6685,podcast,https://www.youtube.com/watch?v=Y6G1Q7Ck480,,,
UCJJBtUqjm-QjJ7Cvtz0yqbQ,hGFG9nhAS1U,2 Cents Podcast,3815,podcast,https://www.youtube.com/watch?v=hGFG9nhAS1U,,,
UCCyP1bZGzPgFAOjTuvVPH0w,6OXF5WV-kIo,Podcast with Arijit Chakraborty (Bengali Version),3852,podcast,https://www.youtube.com/watch?v=6OXF5WV-kIo,,,
UCCyP1bZGzPgFAOjTuvVPH0w,A0kWYDOsVFI,Podcast with Arijit Chakraborty (Bengali Version),4272,podcast,https://www.youtube.com/watch?v=A0kWYDOsVFI,,,
UCCyP1bZGzPgFAOjTuvVPH0w,4SL15v9o_pM,Podcast with Arijit Chakraborty (Bengali Version),8289,podcast,https://www.youtube.com/watch?v=4SL15v9o_pM,,,
